driver_id,title,class,capabilities,manufacturerName,modelId,productId,has_driver_js,has_device_js,has_pair,meta_file,parse_error
"tuya_zigbee/cover/aqara_blind-772_cover","Aqara Blind-772 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_blind-772_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_blind-824","Aqara Blind-824 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_blind-824\\driver.compose.json",""
"tuya_zigbee/cover/aqara_blind-824_cover","Aqara Blind-824 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_blind-824_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_curtain-550","Aqara Curtain-550 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_curtain-550\\driver.compose.json",""
"tuya_zigbee/cover/aqara_curtain-550_cover","Aqara Curtain-550 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_curtain-550_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_curtain-838","Aqara Curtain-838 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_curtain-838\\driver.compose.json",""
"tuya_zigbee/cover/aqara_curtain-838_cover","Aqara Curtain-838 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_curtain-838_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_garage-374","Aqara Garage-374 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_garage-374\\driver.compose.json",""
"tuya_zigbee/cover/aqara_garage-374_cover","Aqara Garage-374 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_garage-374_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_garage-478","Aqara Garage-478 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_garage-478\\driver.compose.json",""
"tuya_zigbee/cover/aqara_garage-478_cover","Aqara Garage-478 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_garage-478_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_shade-24","Aqara Shade-24 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_shade-24\\driver.compose.json",""
"tuya_zigbee/cover/aqara_shade-24_cover","Aqara Shade-24 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_shade-24_cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_shade-549","Aqara Shade-549 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_shade-549\\driver.compose.json",""
"tuya_zigbee/cover/aqara_shade-549_cover","Aqara Shade-549 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_shade-549_cover\\driver.compose.json",""
"tuya_zigbee/cover/assets","Assets (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\assets\\driver.compose.json",""
"tuya_zigbee/cover/ikea_blind-14","Ikea Blind-14 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_blind-14\\driver.compose.json",""
"tuya_zigbee/cover/ikea_blind-14_cover","Ikea Blind-14 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_blind-14_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_blind-515","Ikea Blind-515 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_blind-515\\driver.compose.json",""
"tuya_zigbee/cover/ikea_blind-515_cover","Ikea Blind-515 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_blind-515_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_curtain-339","Ikea Curtain-339 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_curtain-339\\driver.compose.json",""
"tuya_zigbee/cover/ikea_curtain-339_cover","Ikea Curtain-339 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_curtain-339_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_curtain-431","Ikea Curtain-431 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_curtain-431\\driver.compose.json",""
"tuya_zigbee/cover/ikea_curtain-431_cover","Ikea Curtain-431 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_curtain-431_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_garage-4","Ikea Garage-4 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_garage-4\\driver.compose.json",""
"tuya_zigbee/cover/ikea_garage-4_cover","Ikea Garage-4 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_garage-4_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_garage-65","Ikea Garage-65 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_garage-65\\driver.compose.json",""
"tuya_zigbee/cover/ikea_garage-65_cover","Ikea Garage-65 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_garage-65_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_shade-756","Ikea Shade-756 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_shade-756\\driver.compose.json",""
"tuya_zigbee/cover/ikea_shade-756_cover","Ikea Shade-756 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_shade-756_cover\\driver.compose.json",""
"tuya_zigbee/cover/ikea_shade-837","Ikea Shade-837 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_shade-837\\driver.compose.json",""
"tuya_zigbee/cover/ikea_shade-837_cover","Ikea Shade-837 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ikea_shade-837_cover\\driver.compose.json",""
"tuya_zigbee/cover/ts0601_cover_curtain","Ts0601 Cover Curtain (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts0601_cover_curtain\\driver.compose.json",""
"tuya_zigbee/cover/ts0601_curtain_cover","Ts0601 Curtain Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts0601_curtain_cover\\driver.compose.json",""
"tuya_zigbee/cover/ts0601_curtain_cover_standard","Ts0601 Curtain Cover Standard (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts0601_curtain_cover_standard\\driver.compose.json",""
"tuya_zigbee/cover/ts130f","Ts130f (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts130f\\driver.compose.json",""
"tuya_zigbee/cover/ts130f_cover","Ts130f Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts130f_cover\\driver.compose.json",""
"tuya_zigbee/cover/ts130f_standard","Ts130f Standard (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\ts130f_standard\\driver.compose.json",""
"tuya_zigbee/cover/tuya_blind-205","Tuya Blind-205 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_blind-205\\driver.compose.json",""
"tuya_zigbee/cover/tuya_blind-205_cover","Tuya Blind-205 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_blind-205_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_blind-531","Tuya Blind-531 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_blind-531\\driver.compose.json",""
"tuya_zigbee/cover/tuya_blind-531_cover","Tuya Blind-531 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_blind-531_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_curtain-601","Tuya Curtain-601 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_curtain-601\\driver.compose.json",""
"tuya_zigbee/cover/tuya_curtain-601_cover","Tuya Curtain-601 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_curtain-601_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_curtain-704","Tuya Curtain-704 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_curtain-704\\driver.compose.json",""
"tuya_zigbee/cover/tuya_curtain-704_cover","Tuya Curtain-704 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_curtain-704_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_garage-18","Tuya Garage-18 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_garage-18\\driver.compose.json",""
"tuya_zigbee/cover/tuya_garage-18_cover","Tuya Garage-18 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_garage-18_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_garage-581","Tuya Garage-581 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_garage-581\\driver.compose.json",""
"tuya_zigbee/cover/tuya_garage-581_cover","Tuya Garage-581 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_garage-581_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_shade-162","Tuya Shade-162 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_shade-162\\driver.compose.json",""
"tuya_zigbee/cover/tuya_shade-162_cover","Tuya Shade-162 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_shade-162_cover\\driver.compose.json",""
"tuya_zigbee/cover/tuya_shade-647","Tuya Shade-647 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_shade-647\\driver.compose.json",""
"tuya_zigbee/cover/tuya_shade-647_cover","Tuya Shade-647 Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\tuya_shade-647_cover\\driver.compose.json",""
"tuya_zigbee/fan","fan","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\fan\\driver.compose.json",""
"tuya_zigbee/fan/aqara_fan-281","","ZigBeeDevice","onoff,dim","Tuya","aqara_fan-281","",true,true,false,"drivers\\tuya_zigbee\\fan\\aqara_fan-281\\driver.compose.json",""
"tuya_zigbee/fan/aqara_fan-459","","ZigBeeDevice","onoff,dim","Tuya","aqara_fan-459","",true,true,false,"drivers\\tuya_zigbee\\fan\\aqara_fan-459\\driver.compose.json",""
"tuya_zigbee/fan/assets","Assets","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\fan\\assets\\driver.compose.json",""
"tuya_zigbee/fan/ikea_fan-18","","ZigBeeDevice","onoff,dim","Tuya","ikea_fan-18","",true,true,false,"drivers\\tuya_zigbee\\fan\\ikea_fan-18\\driver.compose.json",""
"tuya_zigbee/fan/ikea_fan-208","","ZigBeeDevice","onoff,dim","Tuya","ikea_fan-208","",true,true,false,"drivers\\tuya_zigbee\\fan\\ikea_fan-208\\driver.compose.json",""
"tuya_zigbee/fan/tuya_fan-200","","ZigBeeDevice","onoff,dim","Tuya","tuya_fan-200","",true,true,false,"drivers\\tuya_zigbee\\fan\\tuya_fan-200\\driver.compose.json",""
"tuya_zigbee/fan/tuya_fan-730","","ZigBeeDevice","onoff,dim","Tuya","tuya_fan-730","",true,true,false,"drivers\\tuya_zigbee\\fan\\tuya_fan-730\\driver.compose.json",""
"tuya_zigbee/heater","heater","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\heater\\driver.compose.json",""
"tuya_zigbee/heater/aqara_heater-833","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","aqara_heater-833","",true,true,false,"drivers\\tuya_zigbee\\heater\\aqara_heater-833\\driver.compose.json",""
"tuya_zigbee/heater/aqara_heater-898","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","aqara_heater-898","",true,true,false,"drivers\\tuya_zigbee\\heater\\aqara_heater-898\\driver.compose.json",""
"tuya_zigbee/heater/assets","Assets","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\heater\\assets\\driver.compose.json",""
"tuya_zigbee/heater/ikea_heater-399","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","ikea_heater-399","",true,true,false,"drivers\\tuya_zigbee\\heater\\ikea_heater-399\\driver.compose.json",""
"tuya_zigbee/heater/ikea_heater-896","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","ikea_heater-896","",true,true,false,"drivers\\tuya_zigbee\\heater\\ikea_heater-896\\driver.compose.json",""
"tuya_zigbee/heater/tuya_heater-0","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","tuya_heater-0","",true,true,false,"drivers\\tuya_zigbee\\heater\\tuya_heater-0\\driver.compose.json",""
"tuya_zigbee/heater/tuya_heater-387","","ZigBeeDevice","onoff,dim,target_temperature","Tuya","tuya_heater-387","",true,true,false,"drivers\\tuya_zigbee\\heater\\tuya_heater-387\\driver.compose.json",""
"tuya_zigbee/light","light","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\light\\driver.compose.json",""
"tuya_zigbee/light/aqara_bulb_130","Aqara Bulb 130 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_bulb_130\\driver.compose.json",""
"tuya_zigbee/light/aqara_bulb_423","Aqara Bulb 423 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_bulb_423\\driver.compose.json",""
"tuya_zigbee/light/aqara_ceiling_372","Aqara Ceiling 372 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_ceiling_372\\driver.compose.json",""
"tuya_zigbee/light/aqara_ceiling_655","Aqara Ceiling 655 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_ceiling_655\\driver.compose.json",""
"tuya_zigbee/light/aqara_floor_470","Aqara Floor 470 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_floor_470\\driver.compose.json",""
"tuya_zigbee/light/aqara_floor_771","Aqara Floor 771 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_floor_771\\driver.compose.json",""
"tuya_zigbee/light/aqara_garden_709","Aqara Garden 709 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_garden_709\\driver.compose.json",""
"tuya_zigbee/light/aqara_garden_967","Aqara Garden 967 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_garden_967\\driver.compose.json",""
"tuya_zigbee/light/aqara_strip_219","Aqara Strip 219 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_strip_219\\driver.compose.json",""
"tuya_zigbee/light/aqara_strip_599","Aqara Strip 599 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_strip_599\\driver.compose.json",""
"tuya_zigbee/light/aqara_table_140","Aqara Table 140 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_table_140\\driver.compose.json",""
"tuya_zigbee/light/aqara_table_922","Aqara Table 922 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\aqara_table_922\\driver.compose.json",""
"tuya_zigbee/light/assets","Assets (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\assets\\driver.compose.json",""
"tuya_zigbee/light/generic_device_bulb_standard","Generic Device Bulb Standard (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\generic_device_bulb_standard\\driver.compose.json",""
"tuya_zigbee/light/ikea_bulb_320","Ikea Bulb 320 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_bulb_320\\driver.compose.json",""
"tuya_zigbee/light/ikea_bulb_793","Ikea Bulb 793 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_bulb_793\\driver.compose.json",""
"tuya_zigbee/light/ikea_ceiling_558","Ikea Ceiling 558 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_ceiling_558\\driver.compose.json",""
"tuya_zigbee/light/ikea_ceiling_940","Ikea Ceiling 940 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_ceiling_940\\driver.compose.json",""
"tuya_zigbee/light/ikea_floor_238","Ikea Floor 238 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_floor_238\\driver.compose.json",""
"tuya_zigbee/light/ikea_floor_708","Ikea Floor 708 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_floor_708\\driver.compose.json",""
"tuya_zigbee/light/ikea_garden_130","Ikea Garden 130 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_garden_130\\driver.compose.json",""
"tuya_zigbee/light/ikea_garden_901","Ikea Garden 901 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_garden_901\\driver.compose.json",""
"tuya_zigbee/light/ikea_strip_461","Ikea Strip 461 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_strip_461\\driver.compose.json",""
"tuya_zigbee/light/ikea_strip_96","Ikea Strip 96 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_strip_96\\driver.compose.json",""
"tuya_zigbee/light/ikea_table_218","Ikea Table 218 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_table_218\\driver.compose.json",""
"tuya_zigbee/light/ikea_table_357","Ikea Table 357 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ikea_table_357\\driver.compose.json",""
"tuya_zigbee/light/ts0505a","Ts0505a (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505a\\driver.compose.json",""
"tuya_zigbee/light/ts0505a_bulb_e27","Ts0505a Bulb E27 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505a_bulb_e27\\driver.compose.json",""
"tuya_zigbee/light/ts0505a_standard","Ts0505a Standard (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505a_standard\\driver.compose.json",""
"tuya_zigbee/light/ts0505b","Ts0505b (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505b\\driver.compose.json",""
"tuya_zigbee/light/ts0505b_bulb_e27","Ts0505b Bulb E27 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505b_bulb_e27\\driver.compose.json",""
"tuya_zigbee/light/ts0505b_standard","Ts0505b Standard (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505b_standard\\driver.compose.json",""
"tuya_zigbee/light/ts0505c","Ts0505c (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505c\\driver.compose.json",""
"tuya_zigbee/light/ts0505c_bulb_e27","Ts0505c Bulb E27 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505c_bulb_e27\\driver.compose.json",""
"tuya_zigbee/light/ts0505c_standard","Ts0505c Standard (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts0505c_standard\\driver.compose.json",""
"tuya_zigbee/light/ts110f_bulb_e27","Ts110f Bulb E27 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts110f_bulb_e27\\driver.compose.json",""
"tuya_zigbee/light/ts130f_bulb_e27","Ts130f Bulb E27 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\ts130f_bulb_e27\\driver.compose.json",""
"tuya_zigbee/light/ts130f_light_standard","Tuya TS130F Standard Light","light","onoff,dim,light_temperature,light_mode","Tuya","TS130F","TS130F",true,true,false,"drivers\\tuya_zigbee\\light\\ts130f_light_standard\\driver.compose.json",""
"tuya_zigbee/light/tuya_bulb_211","Tuya Bulb 211 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\tuya_bulb_211\\driver.compose.json",""
"tuya_zigbee/light/tuya_bulb_305","Tuya Bulb 305 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\tuya_bulb_305\\driver.compose.json",""
"tuya_zigbee/light/tuya_ceiling_282","Tuya Ceiling 282 (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\tuya_zigbee\\light\\tuya_ceiling_282\\driver.compose.json",""
